,Customer_ID,prediccion,%_proba
89584,1114929,1.0,0.5636756128145934
89586,1114934,1.0,0.5198678659682402
89600,1114959,1.0,0.5866014517724358
89626,1115012,1.0,0.5271452438231413
89629,1115020,1.0,0.8837887594582264
89681,1115127,1.0,0.5507906820248749
89683,1115133,1.0,0.6010366833989983
89687,1115140,1.0,0.6629231227922866
89720,1115201,1.0,0.5306632712023798
89729,1115214,1.0,0.7092630718737939
89734,1115220,1.0,0.7326273163239333
89743,1115234,1.0,0.7099629730218016
89759,1115266,1.0,0.5890202336033521
89760,1115269,1.0,0.5868542651550374
89792,1115326,1.0,0.7904892973668549
89803,1115345,1.0,0.7954306704195866
89824,1115382,1.0,0.7812918593206233
89839,1115403,1.0,0.539332717606266
89840,1115404,1.0,0.8548361663156423
89856,1115438,1.0,0.6001222442888143
89874,1115468,1.0,0.6747150192775527
90001,1115642,1.0,0.6120331447098416
90057,1115728,1.0,0.662885796097152
90124,1115807,1.0,0.9217794809926361
90191,1115902,1.0,0.6830303916817927
90200,1115914,1.0,0.6591079722511749
90204,1115924,1.0,0.5126630063037405
90284,1116019,1.0,0.5953960170598857
90315,1116058,1.0,0.6957601753638026
90347,1116120,1.0,0.7327961042944374
90360,1116148,1.0,0.7495692452489121
90659,1116482,1.0,0.728647972269302
90821,1116701,1.0,0.631265839423619
90823,1116703,1.0,0.552182890792902
91050,1116968,1.0,0.8475073924526909
91167,1117112,1.0,0.6157588610809205
91193,1117159,1.0,0.5808954754915341
91478,1117524,1.0,0.6207075498157408
91498,1117550,1.0,0.7735089710042622
91565,1117673,1.0,0.6555001596635972
91577,1117693,1.0,0.6770327083953194
91596,1117733,1.0,0.8077890338184779
91598,1117736,1.0,0.6240188348134155
91610,1117754,1.0,0.7591459974764608
91624,1117780,1.0,0.7009813746765204
91625,1117783,1.0,0.548983928116252
91641,1117810,1.0,0.8487312634854268
91677,1117876,1.0,0.5484414450498
91678,1117878,1.0,0.5246550423844512
91680,1117882,1.0,0.544311750798576
91696,1117910,1.0,0.8635190855061735
91712,1117944,1.0,0.6185021789970094
91715,1117948,1.0,0.5440106618068611
91722,1117965,1.0,0.640548358283393
91728,1117975,1.0,0.6232577172790105
91765,1118035,1.0,0.5372337953987988
91792,1118091,1.0,0.6003613974789067
91821,1118144,1.0,0.8302953180808758
91837,1118175,1.0,0.508950068780299
91860,1118228,1.0,0.6339202108934004
91867,1118240,1.0,0.6698464040717756
91878,1118257,1.0,0.6474467408653507
91908,1118311,1.0,0.5784760509170187
91912,1118315,1.0,0.7084299909304042
91963,1118412,1.0,0.5869620486654551
91998,1118469,1.0,0.6897821936864742
92002,1118478,1.0,0.5713829690914486
